"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",12384763
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",11564494
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",14146035
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",5572420
"1AI","ALGORAE PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","01/09/2004",21596123
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",9117522
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",33983397
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",5042566
"29M","29METALS LIMITED","Materials","02/07/2021",333124782
"360","LIFE360 INC.","Software & Services","10/05/2019",1422731298
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",87591394
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",32123501
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",339317828
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",174908492
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",330983903
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",137134867
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",21302451
"88E","88 ENERGY LIMITED","Energy","20/01/2000",88474620
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",13445694
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",2766154
"92E","92 ENERGY LIMITED","Energy","15/04/2021",40954414
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",296937205
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",5925892
"A1M","AIC MINES LIMITED","Materials","04/11/1993",150302955
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",281049128
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",213999224
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",2927885972
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",6476986
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",831081190
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",7296869
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",849901113
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",6103637
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",6101990
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",63447803
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",17663955
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",225048793
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",1058877304
"ABC","ADBRI LIMITED","Materials","31/05/1962",1391591927
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",8269816
"ABG","ABACUS GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",965150244
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",17523998
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",16963857
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",107523941
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",104911979
"ACF","ACROW LIMITED","Capital Goods","27/06/2008",284709344
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",538896820
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Materials","03/07/2023",6312033
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",11074179
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",85180813
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",13297599
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",3785018
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",13308651
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",54221787
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",6012475
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",1247463628
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",57930992
"ADC","ACDC METALS LTD","Materials","17/01/2023",5278274
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",5842954
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",3279773
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",277746826
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",62205419
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",74679043
"ADRDA","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015","--"
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",6448991
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",968950927
"ADX","ADX ENERGY LTD","Energy","29/01/1987",41208579
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",7821475
"AEE","AURA ENERGY LIMITED","Energy","30/05/2006",183214792
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","Financial Services","17/12/2002",542481670
"AEI","AERIS ENVIRONMENTAL LTD","Commercial & Professional Services","12/09/2000",7860626
"AER","AEERIS LTD","Media & Entertainment","01/04/2015",5869876
"AEV","AVENIRA LIMITED","Materials","10/10/2006",26058859
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",35657889
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",460307377
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8925294026
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",14941285
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",333474707
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010","--"
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",6300000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",18369341
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",208564686
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",13861538
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",394048897
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",6128727293
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",45609378
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",4683370
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",210661125
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",55989021
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",10493869
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",24554666
"AHK","ARK MINES LIMITED","Materials","09/05/2011",11857330
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",65028138
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",3746636
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",51301552
"AI1","ADISYN LTD","Software & Services","10/11/2020",3834897
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11235565175
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",137062596
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",57423863
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",45276546
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",98753237
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",3663544
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2071605554
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",17884485
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012","SUSPENDED"
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",9873857
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",1360000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",5466197055
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",39121268
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",48733151
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",11517685
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",13297594
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",271946031
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",17902082
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",7194598
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",81813621
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4633933
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",92282896
"ALD","AMPOL LIMITED","Energy","31/12/1980",8238103562
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",213469177
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",342496511
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",395251443
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",25968346084
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",10026007
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",6129562879
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",6006628934
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",18626063
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",8284260467
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",11780763
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",10032609
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",124641845
"AMC","AMCOR PLC","Materials","28/08/1969",20812942253
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",6047530
"AME","ALTO METALS LIMITED","Materials","20/12/2012",31662404
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",311233642
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",185874414
"AML","AEON METALS LIMITED.","Materials","14/06/2007",13156807
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",7072000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",63485593
